creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
snow elemental,,163,0,4,Elemental-Snow Elemental-Ice,Demon,78.2,45-55,10-15,60-70,25-35,25-35,195-215,165-185,70-95,325-355,165-185,70-95,80-100,80-100,50-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
snow leopard,,64-65,0,4,Ice,None,34.3,20-25,5-10,30-40,10-20,20-30,30-50,65-85,0-0,55-80,65-85,25-50,40-50,45-60,25-35,0-0,0-0,0-0,0-0,0-0,0-0,53.1,,,,,,,3-9,1-3,,,,,,,
soulbound apprentice mage,IsSoulboundAM,124,0,7,Repond-Mage,Undead,81.3,20-25,20-25,20-25,20-25,20-25,110-130,90-120,185-210,95-120,90-120,95-120,35-45,70-80,80-90,0-0,0-0,0-0,75-100,85-100,0-0,,,,,,corgul island,,,,,,,,,,
soulbound battle mage,IsSoulboundBM,124-125-126,0,7,Repond-Mage,Undead,110.0,50-60,50-60,50-60,50-60,50-60,390-430,90-120,550-650,130-150,90-120,150-170,100-135,100-120,100-110,0-0,0-0,0-0,100-120,100-120,0-0,,,,,,corgul island,,,,,,,,,,
soulbound pirate captain,IsSoulboundPC,400-401,SkinHue,7,None,None,110,45-55,45-55,45-55,45-55,45-55,450-600,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,corgul island,,,,,,,,,,
soulbound pirate raider,IsSoulboundPR,400-401,SkinHue,7,None,None,110,45-55,45-55,45-55,45-55,45-55,200-250,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,corgul island,,,,,,,,,,
soulbound spell slinger,IsSoulboundSS,124-125-126,0,7,Repond-Mage,Undead,110.0,30-40,30-40,30-40,30-40,30-40,190-220,90-120,350-450,120-130,90-120,110-140,90-110,80-90,90-100,0-0,0-0,0-0,90-110,70-100,0-0,,,,,,corgul island,,,,,,,,,,
soulbound swashbuckler,IsSoulboundSB,400-401,SkinHue,7,None,None,110,30-40,30-40,30-40,30-40,30-40,100-125,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,corgul island,,,,,,,,,,
speckled scorpion,,48,0,4,Arachnid-Scorpion,Reptile,68.6,20-25,10-15,20-25,40-50,10-15,80-65,75-95,0-0,80-110,75-95,15-30,55-65,65-75,30-35,0-0,80-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
spectral armor,,637,32806,4,None,None,78,35-45,20-30,30-40,20-30,20-30,175-205,190-200,100-110,100-110,100-110,100-110,75-100,90-100,90-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
spectral spellbinder,,153,0,4,Undead,Repond,73,25-30,0-0,15-20,10-20,0-0,40-50,45-65,185-210,60-70,45-65,185-210,35-50,35-50,35-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
spectre,,26,16385,4,Undead,Repond,67.8,25-30,0-0,15-25,10-20,0-0,45-60,75-95,35-60,75-100,75-95,35-60,45-55,45-60,55-70,0-0,0-0,0-0,55-70,60-70,0-0,,,,,,,,,,,,,,,,
sphynx,,788,0,4,None,None,135.3,60-80,30-50,40-60,40-50,40-50,1000-1200,175-195,300-400,1000-1200,175-195,300-400,90-100,90-100,100-150,25-50,0-0,0-0,95-100,95-100,95-120,,,,,,,,,,,,,,,,
spite,,264,33,4,None,None,160,80-90,40-50,40-50,40-50,40-50,1015-1070,200-315,300-500,135-220,200-315,300-500,10-15,120-135,155-170,0-0,0-0,0-0,110-120,110-120,105-115,,,,,,,,,,,,,,,,
squirrel,,278,0,4,None,None,3,30-35,10-15,30-35,20-25,20-25,40-50,35-35,5-5,40-50,35-35,5-5,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,-21.3,,,,,,,4-7,1-2,,true,,,,,
stone elemental,,14,2401,4,Elemental-Earth Elemental,Demon,100,60-65,50-60,45-55,55-60,45-55,900-1000,80-110,90-120,150-185,80-110,90-120,80-100,80-100,100-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
stone gargoyle,,67,0,4,Demon-Gargoyle,Elemental-Fey,71.4,45-55,20-30,10-20,30-40,30-40,145-165,75-95,80-105,245-275,75-95,80-105,60-100,80-100,85-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
stone harpy,,73,0,4,None,None,70.3,45-55,20-30,10-20,30-40,30-40,175-195,85-110,0-0,295-320,85-110,50-75,70-100,70-100,50-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
stone slith,,734,2101,4,Reptile,Arachnid,71.2,45-55,20-30,10-20,30-40,30-40,153-170,76-95,27-80,246-310,76-95,27-80,75-100,80-100,85-100,0-0,0-0,0-0,0-0,0-0,0-0,65.1,,,,,,1075829-1157400-1157428,6-24,1-5,,,,,,,
strange gazer,,22,0,4,None,None,73.3,35-40,40-50,20-30,10-20,20-30,55-75,85-105,140-165,95-125,85-105,140-165,50-70,50-70,60-75,0-0,0-0,0-0,50-65,55-65,0-0,,,,,,,,,,,,,,,,
stygian dragon,,826,0,4,Reptile-Dragon,Arachnid,160,80-90,80-90,60-70,80-90,80-90,30000-30000,260-630,100-245,700-890,200-350,100-245,110-130,110-130,110-130,110-130,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
stygian drake,,1422,32768-33922-33934-35488-34699,4,None,None,80.6,55-65,60-70,35-45,25-35,60-70,478-495,88-108,436-475,796-825,88-108,436-475,80-100,80-100,80-100,0-0,0-0,0-0,90-100,90-105,0-0,84.3,,,,,,1155771,11-17,4-5,,,true,,,,
succubus,,149,0,4,Demon,Elemental-Fey,107.2,80-90,70-80,40-50,50-60,50-60,310-355,120-170,495-660,485-620,120-170,495-660,80-90,80-90,100-150,0-0,0-0,0-0,95-100,95-100,90-100,,,,,,,,,,,,,,,,
sudiva,,59,0,4,Reptile-Dragon,Arachnid,Immune,99-99,99-99,99-99,99-99,99-99,50000-50000,270-300,80-100,2700-2800,270-300,80-100,160-160,160-160,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
swamp dragon,,794,,4,Reptile-Dragon,Arachnid,59,35-40,20-30,20-40,20-30,30-40,120-180,65-85,60-100,200-300,65-85,60-100,45-55,45-55,45-55,45-55,0-0,0-0,0-0,0-0,0-0,93.9,,,,true,,,3-4,1-1,,,,,,,
swamp tentacle,,66,0,4,None,None,48,25-35,10-20,10-20,60-80,10-20,55-75,65-85,0-0,95-120,65-85,15-30,65-80,65-80,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
swoop,,5,224,4,Bird,None,102.9,75-90,60-75,70-85,55-60,55-60,1350-1500,425-430,10-15,135-140,425-430,80-85,120-140,115-140,95-100,0-30,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
szavetra,,149,0,4,Demon,Elemental-Fey,107.4,80-90,70-75,40-50,50-60,50-60,310-355,160-195,565-595,625-645,160-195,565-595,80-90,90-95,110-130,0-0,0-0,0-0,100-105,90-100,90-100,,,,,,,,,,,,,,,,
tangle,,780,33,4,None,None,160,50-55,40-40,30-35,65-70,40-45,2505-2505,65-70,5-10,840-845,65-70,55-60,85-90,95-100,105-110,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
tangling roots,,8,0,4,None,None,59.8,30-40,0-0,10-20,100-100,10-20,225-250,50-70,25-40,160-185,50-70,25-40,45-60,45-60,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
tavara sewel,,401,34872,7,None,None,75.1,25-30,25-30,50-60,25-35,25-35,180-210,125-150,0-0,110-120,110-120,110-120,0-0,90-100,80-90,90-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
tempest,,13,1175,4,Elemetal-Air Elemental,Demon,107.1,45-55,35-45,30-40,30-40,50-60,450-610,230-270,140-180,150-240,230-270,140-180,95-110,95-110,95-110,0-0,0-0,0-0,95-110,95-115,20-50,,,,,,,,,,,,,,,,
tentacles of the harrower,,129,0,4,None,None,131.4,55-65,35-45,35-45,35-45,35-45,540-600,125-140,1000-1200,900-1000,125-140,1000-1200,90-100,90-100,120-140,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
terathan avenger,,152,0,4,Arachnid-Terathan,Reptile,91.5,40-50,30-40,35-45,90-100,35-45,295-375,75-95,45-70,465-645,75-95,125-150,90-100,90-100,65-80,0-0,60-80,0-0,70-100,85-100,0-0,,,,,,,,,,,,,,,,
terathan drone,,71,0,4,Arachnid-Terathan,Reptile,36.9,20-25,10-20,15-25,30-40,15-25,20-40,95-145,0-0,35-65,95-145,20-45,40-50,30-50,30-45,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
terathan matriarch,,72,0,4,Arachnid-Terathan,Reptile,91.2,45-55,30-40,35-45,40-50,35-45,190-245,95-115,365-455,315-405,95-115,365-455,60-80,50-70,90-100,0-0,0-0,0-0,90-100,95-100,0-0,,,,,,,,,,,,,,,,
terathan warrior,,70,0,4,Arachnid-Terathan,Reptile,70.6,30-35,20-30,25-35,30-40,25-35,100-130,95-145,0-0,165-215,95-145,40-65,80-90,80-100,60-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
the defender,IsDefender,35-36,1949,4,Reptile-Lizardman,Arachnid,110.0,50-60,50-60,50-60,50-60,50-60,1000-1200,80-120,50-90,100-200,100-120,50-90,90-120,90-120,50-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
the great ape,,1308,0,4,None,None,160,70-85,40-55,50-65,50-65,50-65,,750-760,80-90,1200-1300,750-760,80-90,130-130,120-120,120-120,120-120,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
the harrower,,146,0,4,None,None,160,55-65,60-80,60-80,60-80,60-80,39000-39000,125-140,5000-5000,900-1000,125-140,1000-1200,90-100,90-110,120-160,0-0,0-0,0-0,120-120,120-120,120-120,,,,true,,,,,,,,,,,,
the myrmidex queen,,1404,0,7,Myrmidex-Eodon,Dinosaur,160,80-90,60-70,60-70,80-90,60-70,50000-60000,152-167,277-304,900-1000,500-600,1000-1200,110-120,120-130,120-130,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
the squatter,IsSquatter,35-36,0,4,Reptile-Lizardman,Arachnid,110.0,60-70,50-60,50-60,50-60,50-60,750-1100,80-120,50-90,100-170,100-120,50-90,90-120,90-120,30-70,0-50,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
the true harrower,,780,1175,4,None,None,160,55-65,60-80,60-80,60-80,60-80,39000-39000,125-140,5000-5000,900-1000,125-140,1000-1200,90-100,90-110,120-160,0-0,0-0,0-0,120-120,120-120,120-120,,,,true,,,,,,,,,,,,
thrasher,,206,1175,4,None,None,104.4,50-50,25-30,0-0,30-30,0-0,680-685,235-235,20-20,90-95,235-235,20-20,95-100,100-105,115-120,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
tikitavi renowned,,42,0,7,Repond-Vermin,Undead,160,20-30,20-30,30-50,10-20,10-20,40000-40000,100-140,250-280,300-320,100-140,250-280,65-90,60-75,40-45,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
timber wolf,,225,0,4,Wolf,None,29.4,15-20,5-10,10-15,5-10,5-10,30-50,55-75,0-0,55-80,55-75,10-25,40-60,30-50,25-45,0-0,0-0,0-0,0-0,0-0,0-0,23.1,,,,,,,5-9,1-3,,true,,,,,
titan,,76,0,4,Repond,Undead,93.6,35-45,30-40,25-35,30-40,30-40,320-355,125-145,280-305,535-585,125-145,280-305,40-50,60-80,80-110,0-0,0-0,0-0,85-100,90-100,0-0,,,,,,,,,,,,,,,,
titan rockhurler,,76,0,4,Repond,Undead,90,40-50,20-30,40-50,40-50,30-40,200-300,80-105,35-60,95-120,80-105,35-60,100-110,100-110,100-110,100-110,0-0,0-0,100-110,100-110,100-110,,,,,,,,,,,,,,,,
tormented minotaur,,262,0,4,Bovine,None,160.0,55-70,70-80,50-55,50-55,55-60,4055-4085,325-380,125-145,845-885,325-380,125-145,100-110,100-110,105-115,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
toxic slith,,734,476,4,Reptile,Arachnid,85.1,30-45,0-10,0-10,100-100,5-10,180-215,245-275,0-0,215-330,245-275,20-40,85-100,80-100,95-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,1002122,,,,,,,,,
trapdoor spider,,737,0,4,Arachnid-Spider,Reptile,80,25-40,20-35,35-45,35-45,95-100,125-150,145-165,25-50,100-125,145-165,25-50,80-95,70-85,45-60,0-0,70-90,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
travesty,,264,0,4,None,None,160,50-70,50-70,50-70,50-70,50-70,35000-35000,940-940,905-910,905-950,940-940,905-910,100-120,100-120,100-120,100-120,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
treefellow,,301,0,4,Fey,Demon,58.9,20-25,0-0,50-60,30-35,20-30,115-135,30-55,65-90,195-220,30-55,65-90,65-85,65-90,40-55,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
treefellow guardian,,301,0,4,Fey,Demon,121.8,30-35,0-15,50-60,20-30,80-90,700-900,30-60,400-500,500-700,30-60,400-500,100-120,90-120,100-140,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
triceratops,,1415,0,4,None,None,160,65-85,30-45,30-55,35-50,35-50,1006-1190,150-170,277-314,1102-1278,150-170,277-314,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,102,true,,,,,1028838-1075829-1157458-1157559-1044077,21-28,3-5,,,,,,,
triton,,720,2713,4,Elemental,Demon,120,45-55,50-60,45-55,35-45,85-90,650-700,150-150,100-125,100-250,150-220,100-125,110-130,80-90,150-190,80-90,0-0,70-90,0-0,0-0,0-0,96,,,,,,1044077,13-24,5-5,,,,,,,
troglodyte,,267,0,4,Repond,Undead,88,30-35,20-30,35-40,30-40,30-40,300-340,90-120,50-70,160-210,90-120,50-70,70-95,80-95,50-65,70-95,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
troll,,53-54,0,4,Repond-Troll,Undead,54.5,35-45,25-35,15-25,5-15,5-15,105-125,45-65,45-70,175-205,45-65,45-70,50-70,50-70,45-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
tropical bird,,6,BirdHue,4,Bird,None,4.6,0-0,0-0,0-0,0-0,0-0,0-0,25-25,0-0,0-0,25-25,0-0,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,-6.1,,,,,,,1-1,1-2,,true,,,,,
tsuki wolf,,250,0-448-1175-2301-2305,4,Demon,Elemental-Fey,87.4,40-60,50-70,50-70,50-70,50-70,376-450,150-150,40-40,400-450,150-200,65-75,95-110,95-110,65-70,65-75,0-0,0-0,0-0,0-0,0-0,96,,,,,,1150005,14-18,3-5,,,,true,,,
turkey,,95,0,4,Bird,None,5.4,5-10,5-10,0-5,0-5,0-5,10-15,10-20,5-15,10-15,10-20,5-15,5-10,5-10,5-10,50-70,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,2-3,1-2,,true,,,,,
twaulo of the glade,,101,1109,4,None,None,160.0,65-70,45-50,50-60,50-55,50-55,7500-7500,260-410,900-925,1760-1950,260-410,900-925,105-120,100-115,100-110,100-105,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
tyrannosaurus rex,,1400,0,4,Dinosaur-Eodon,Myrmidex,160,65-85,55-85,65-70,85-90,60-75,50000-55000,400-500,160-250,990-1200,190-250,160-250,137-157,117-157,150-160,0-0,0-0,0-0,90-100,70-100,0-0,,,,true,,,,,,,,,,,,
unbound energy vortex,,13,0,7,Elemental-Air Elemental,Demon,160,60-70,65-75,65-75,55-65,100-100,18000-19000,250-250,0-10,450-450,200-200,100-110,120-140,110-125,100-110,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
undead gargoyle,,722,0,4,Undead,Repond,92.7,40-50,30-40,50-60,50-60,40-50,250-320,150-170,570-650,425-485,150-170,570-650,60-80,50-70,160-195,0-0,0-0,0-0,120-120,90-100,0-30,,,,,,,,,,,,,,,,
undead guardian,,722,0,4,Undead,Repond,70.8,35-45,20-30,50-60,20-30,30-40,115-135,75-95,45-60,220-235,75-95,45-60,85-95,85-100,70-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
unfrozen mummy,,155,1152,4,Undead,Repond,160,35-40,20-25,65-70,25-30,60-65,1500-1500,150-150,845-850,495-500,210-215,845-850,95-100,100-100,250-250,0-0,0-0,0-0,50-55,50-55,80-80,,,,,,,,,,,,,,,,
unicorn,,122,0,2,Fey,Demon,86.2,55-65,25-40,25-40,55-65,25-40,191-210,96-115,186-225,296-325,96-115,186-225,80-95,20-25,75-90,0-0,0-0,0-0,60-80,85-90,50-60,95.1,,,,true,,1002106,16-22,2-5,,,true,,,,
usagralem ballem,,318,2069-2070-2071,7,Demon,Elemental-Fey,160,30-60,30-60,30-60,30-60,30-60,2015-2175,925-1100,5000-5000,1025-1110,925-1100,1000-1160,80-95,75-95,75-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
valorite elemental,,112,0,4,Elemental,Demon,74,65-75,50-60,50-60,50-60,40-50,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vampire bat,,317,0,4,Bat,None,48.4,35-45,15-25,15-25,60-70,40-50,55-70,90-115,25-50,90-110,90-115,25-50,30-55,55-80,70-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vampire bat (summoned),,317,0,,None,None,Immune,10-20,10-20,10-20,10-20,10-20,90-90,120-120,0-0,120-120,120-120,100-100,90-100,50-50,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vampire mongbat,,39,1461,4,Bat,None,20.0,40-60,30-55,50-70,55-75,40-55,150-180,60-80,25-50,55-80,60-80,25-50,20-35,35-50,15-30,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vasanord,,780,2069-2070-2071,7,Demon,Elemental-Fey,160,25-45,30-50,25-35,100-100,25-40,5055-5110,60-65,0-0,800-850,60-65,35-45,55-120,95-120,70-80,0-25,0-0,0-0,95-110,95-110,0-0,,,,,,,,,,,,,,,,
venom elemental,,162,0,4,Elemental-Poison Elemental,Demon,110,67-67,50-50,71-71,71-71,50-50,332-332,249-249,505-505,191-191,158-158,348-348,146.9-146.9,146.9-146.9,130-130,146.9-146.9,130-130,0-0,130-130,130-130,130-130,,,,,,,,,,,,,,,,
verite elemental,,113,0,4,Elemental,Demon,72.9,30-40,10-20,50-60,50-60,50-60,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vicious drake,,60-61,0,4,Reptile-Dragon,Arachnid,100,68-68,76-76,58-58,37-37,64-64,241-241,258-258,284-284,133-133,119-119,180-180,140.2-140.2,140.2-140.2,133.8-133.8,140.2-140.2,137.2-137.2,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vicious drake,,60-61,0,4,Reptile-Dragon,Arachnid,160,96-96,97-97,94-94,95-95,97-97,2558-2558,3377-3377,3794-3794,465-465,557-557,568-568,159.7-159.7,159.7-159.7,159.5-159.5,159.7-159.7,0-0,0-0,0-0,0-0,0-0,,,,,,covetous prison,,,,,,,,,,
vile cadaver,,154,0,4,Undead,Repond,100,63-63,51-51,35-35,44-44,51-51,199-199,85-85,69-69,126-126,105-105,53-53,130-130,120.4-120.4,130-130,120.4-120.4,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vile mage,IsVileMage,124,0,7,Repond-Mage,Undead,110,55-70,60-75,60-70,55-65,60-70,750-900,100-125,550-650,140-170,100-125,140-170,95-120,100-120,100-120,0-0,0-0,0-0,95-120,95-125,0-0,,,,,,,,,,,,,,,,
virtuebane,,1071,0,7,Demon,Elemental-Fey,Immune,60-85,70-90,45-50,90-95,60-75,9500-10000,85-125,85-165,525-630,500-650,525-630,120-130,115-130,150-200,0-0,0-0,0-0,135-150,130-150,0-0,,,,true,,,,,,,,,,,,
virulent,,11,2303,4,Arachnid-Spider,Reptile,131,70-70,40-40,50-50,100-100,45-50,745-750,195-200,350-350,245-245,195-200,350-350,100-105,100-105,95-100,0-0,120-120,0-0,115-120,105-110,10-15,,,,,,,,,,,,,,,,
vitavi renowned,,143,0,7,Repond-Vermin,Undead,160,50-60,30-50,60-80,20-30,30-45,40000-40000,310-375,240-290,305-345,240-290,310-375,60-80,60-80,80-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
void manifestation,,740,2069-2070-2071,7,None,None,140,65-75,60-70,70-80,60-70,60-70,2400-2400,200-200,5000-5000,500-500,150-150,100-125,130-130,130-130,120-120,0-0,0-0,0-0,130-130,130-130,120-120,,,,,,,,,,,,,,,,
vollem,,293,0,4,None,None,88.4,55-65,30-40,30-40,30-40,20-30,300-315,125-127,125-127,500-525,125-125,125-125,80-95,95-100,85-100,0-0,0-0,0-0,10-50,10-50,0-0,0,,,,,,1157414-1002106,16-22,3-5,,,true,,,,
vorpal bunny,,205,1152,4,None,None,158.2,0-0,0-0,0-0,0-0,0-0,2000-2000,500-500,0-0,15-15,2000-2000,1000-1000,5-5,5-5,200-200,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
vortex elemental,,13,16385,4,Elemental-Air Elemental,Demon,110,67-67,50-50,71-71,71-71,50-50,266-266,323-323,105-105,153-153,205-205,74-74,146.9-146.9,146.9-146.9,130-130,146.9-146.9,0-0,0-0,130-130,130-130,130-130,,,,,,,,,,,,,,,,
wailing banshee,,310,0,4,None,None,60,50-60,25-30,70-80,30-40,40-50,75-90,75-100,85-110,125-150,75-100,85-110,50-70,45-70,70-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
walrus,,221,0,4,None,None,18.2,20-25,5-10,20-25,5-10,5-10,10-20,45-55,0-0,20-30,45-55,15-20,15-30,15-30,15-20,0-0,0-0,0-0,0-0,0-0,0-0,35.1,,,,,,,4-10,1-3,,,,,,,
wanderer of the void,,316,0,4,None,None,99.3,40-50,15-25,40-50,40-50,50-75,350-400,100-125,300-390,110-200,100-125,300-390,60-70,60-70,50-75,0-0,0-0,0-0,60-70,65-70,60-70,,,,,,,,,,,,,,,,
wandering healer,IsWanderingHealer,400-401,SkinHue,2,None,None,95.8,40-50,40-50,40-50,40-50,40-50,300-400,100-150,200-300,300-400,100-150,200-300,0-0,80-100,80-100,75-100,0-0,0-0,80-100,90-100,0-0,,,,,,,,,,,,,,,,
war alligator,,202,0,4,None,None,90,68-68,76-76,58-58,37-37,64-64,165-165,242-242,89-89,91-91,111-111,60-60,140.2-140.2,140.2-140.2,133.8-133.8,140.2-140.2,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
war alligator,,202,0,4,None,None,160,96-96,97-97,94-94,95-95,97-97,1755-1755,3164-3164,1055-1055,319-319,522-522,158-158,159.7-159.7,159.7-159.7,159.5-159.5,159.7-159.7,0-0,0-0,0-0,0-0,0-0,,,,,,covetous prison,,,,,,,,,,
war horse,,118-119-120-121,0,4,None,None,65.7,40-50,30-40,30-40,30-40,30-40,240-240,125-125,50-55,400-400,125-125,50-55,25-45,25-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,true,,,5-8,1-3,,,,,,,
water elemental,,16,0,4,Elemental-Water Elemental,Demon,73,35-45,10-25,10-25,60-70,5-10,75-95,65-85,100-125,125-155,65-85,100-125,50-70,50-70,100-115,0-0,0-0,0-0,60-75,65-75,0-0,,,,,,,,,,,,,,,,
water elemental (summoned),,16,0,,Elemental-Water Elemental,Demon,81.4,50-60,20-30,70-80,45-55,40-50,165-165,70-70,100-100,200-200,70-70,100-100,85-85,100-100,75-75,0-0,0-0,0-0,80-80,80-80,90-90,,,,,,,,,,,,,,,,
water elemental,,16,0,4,Elemental-Water Elemental,Demon,90,67-67,50-50,71-71,71-71,50-50,133-133,249-249,153-153,77-77,158-158,106-106,146.9-146.9,146.9-146.9,130-130,146.9-146.9,0-0,0-0,130-130,130-130,130-130,,,,,,covetous,,,,,,,,,,
water elemental,,16,0,4,Elemental-Water Elemental,Demon,100,60-65,45-50,55-60,70-75,40-50,500-600,150-170,630-650,450-500,150-170,120-140,95-110,95-110,100-115,0-0,0-0,0-0,95-110,90-100,0-0,,,,,,shame,,,,,,,,,,
whipping vine,,8,2129,4,None,None,76.6,75-85,15-25,15-25,75-85,35-45,250-300,75-100,0-0,250-300,75-100,25-40,70-70,70-70,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
white wolf,,34-37,0,4,Wolf,None,32.3,15-20,10-15,20-25,10-15,10-15,30-50,55-75,0-0,55-80,55-75,30-55,45-60,45-60,20-35,0-0,0-0,0-0,0-0,0-0,0-0,65.1,,,,,,,3-7,1-3,,,,,,,
white wyrm legacy,,49-180,0-1150,4,Reptile-Dragon,Arachnid,100.3,55-70,15-25,80-90,40-50,40-50,433-456,101-130,386-425,721-760,101-130,386-425,90-100,95-100,95-100,0-0,0-0,0-0,95-100,95-100,0-0,96.3,,,,,,1002106,17-25,3-5,,,true,,,,
white wyrm,,49-180,0-1150,4,Reptile-Dragon,Arachnid,100.3,55-70,15-25,80-90,40-50,40-50,433-456,101-130,386-425,359-760,101-130,386-425,90-100,95-100,95-100,0-0,0-0,0-0,95-100,95-100,0-0,96.3,,,,,,1002106,17-25,3-5,5760,,true,,,,
wight,,252,1153,4,Undead,Repond,81.3,35-45,30-45,50-60,40-50,45-55,185-205,50-60,140-165,180-200,50-60,140-165,55-70,50-60,40-50,0-0,0-0,0-0,60-80,0-0,55-60,,,,,,,,,,,,,,,,
wild tiger,,1254-1255,1175-2500,4,None,None,70,55-75,20-40,55-65,30-40,25-35,350-450,86-125,86-164,496-554,86-125,86-164,85-95,100-105,85-100,0-0,0-0,0-0,0-0,0-0,0-0,101.1,,,,,,1075829-1157400,18-24,2-5,,,,,,,
wind elemental,,13,16385,4,Elemental-Air Elemental,Demon,140,65-75,55-65,55-65,100-100,60-75,2490-2630,200-200,940-1240,340-410,190-230,165-230,60-80,60-80,60-75,0-0,0-0,0-0,60-75,60-75,0-0,,,,,,,,,,,,,,,,
wind elemental guardian,,13,16385,4,Elemental-Air Elemental,Demon,140,65-75,55-65,55-65,100-100,60-75,2490-2630,200-200,940-1240,340-410,190-230,165-230,60-80,60-80,60-75,0-0,0-0,0-0,60-75,60-75,0-0,,,,,,,,,,,,,,,,
wisp,,58,0,4,Fey,Demon,82,35-45,20-40,10-30,5-10,50-70,115-135,195-225,195-225,195-225,195-225,195-225,80-80,80-80,80-80,0-0,0-0,0-0,80-80,80-80,0-0,,,,,,,,,,,,,,,,
